scenario,cohort,metric,n,smpc_mean,dmpc_mean,mean_difference,ci95_low,ci95_high,median_difference,wilcoxon_stat,p_value,rank_biserial,q_value_bh
nocturnal,adolescent,CV,100,15.437548998478153,15.485824847523597,-0.04827584904544649,-0.2180804855329054,0.11943235317682534,-0.0004704829604538219,2402.0,0.6723580402630482,0.048712871287128756,0.8145876257033084
nocturnal,adult,CV,100,14.396533827978388,14.766801962555316,-0.3702681345769305,-0.8245352572833051,0.030573447584385325,-0.041880163564604445,1678.0,0.0035882251228733166,0.3354455445544554,0.010275371942773589
nocturnal,child,CV,100,23.646966473783767,31.06188313665667,-7.414916662872908,-10.996782692018309,-4.338358945243112,-0.6695557685466138,1307.0,2.8157274171123106e-05,0.48237623762376236,0.00022173853409759446
standard,adolescent,CV,100,17.351681625537317,17.392042333883257,-0.040360708345942416,-0.3114286752550737,0.2585149381223606,-0.02148394534199749,2209.0,0.27725313144267305,0.12514851485148515,0.4260231044119122
standard,adult,CV,100,16.4435753755562,16.897789702991652,-0.45421432743545,-0.994873426764622,0.007632643673039574,-0.019010073563370256,2065.0,0.11373419190217399,0.18217821782178223,0.2311372287044181
standard,child,CV,100,24.55012409071274,32.70068270901268,-8.150558618299938,-11.984936719910179,-4.873370254795128,-1.032782009074669,1403.0,0.00011441198431185666,0.4443564356435643,0.0005544580778189976
variable,adolescent,CV,100,23.54300555363216,24.933980487460964,-1.3909749338287967,-3.229597889686817,-0.07169291771206125,-0.005813502189933928,2142.0,0.18787938276041638,0.1516831683168317,0.32878891983072867
variable,adult,CV,100,21.982819274091447,22.567348407807913,-0.5845291337164699,-1.2079357146827112,-0.07643725312320916,-0.03396442001065214,1802.0,0.01292210540641953,0.28633663366336637,0.03539533220019262
variable,child,CV,100,26.632437859630137,34.595969845727424,-7.963531986097291,-11.235485055001227,-4.97985574541809,-0.6502944804391646,1350.0,5.3443979379677045e-05,0.4653465346534653,0.0003366970700919654
nocturnal,adolescent,HBGI,100,2.0741746530715712,2.0640640127103937,0.010110640361176735,-0.00923959842024542,0.03092654636408193,-0.005007607924519597,2507.0,0.9506505527719576,0.007128712871287135,0.9818194233546447
nocturnal,adult,HBGI,100,2.7105431787646985,2.689039700816649,0.0215034779480497,-0.011285439920164675,0.06081449862484626,-0.007530344081742468,2260.0,0.36221313969657387,0.10495049504950493,0.4754047458517532
nocturnal,child,HBGI,100,2.332499089222352,2.0351575241028166,0.2973415651195357,0.17274656593087753,0.4416359244928557,0.034337224114041054,1350.0,5.3443979379677045e-05,0.4653465346534653,0.00030608824553815035
standard,adolescent,HBGI,100,1.9490665339654094,1.9333869512951185,0.015679582670290407,-0.005991813006607116,0.04030327999580586,-0.002253710685069743,2499.0,0.9287668478981905,0.010297029702970306,0.9752051902931
standard,adult,HBGI,100,2.545815019950918,2.521794688802181,0.024020331148737716,-0.007964386828488894,0.06154947111482395,-0.00442397763788116,2438.0,0.7648376056140332,0.034455445544554486,0.8604423063157874
standard,child,HBGI,100,2.237110683423908,1.946764132209105,0.29034655121480313,0.16616277258107273,0.4336690295309871,0.037387477426797655,1246.0,1.0944564978822444e-05,0.5065346534653465,0.00022983586455527132
variable,adolescent,HBGI,100,2.49730403640758,2.410243616910661,0.087060419496919,0.016933932254623824,0.1747220907533468,-0.003564445804133065,2252.0,0.3479039590114893,0.1081188118811881,0.46633934931327287
variable,adult,HBGI,100,3.1590248503548657,3.185922958927027,-0.026898108572161725,-0.07650769081109562,0.0159600228248481,-0.008878825335606133,2191.0,0.25080326830824096,0.13227722772277228,0.4051437411133123
variable,child,HBGI,100,2.310870896844809,1.9885474464586563,0.3223234503861526,0.1647722096968726,0.4983467910040253,0.017207139588944542,1579.0,0.0011433209876770154,0.37465346534653465,0.0040016234568695545
nocturnal,adolescent,LBGI,100,0.19017210996392037,0.1863395567537292,0.003832553210191171,-0.00778682172361219,0.015474870297952437,-1.1628534391288535e-05,2498.0,0.9274006235699053,0.010693069306930703,0.9902752421170176
nocturnal,adult,LBGI,100,0.09169470637587139,0.09840121782266423,-0.006706511446792824,-0.02200370976609274,0.007774376250048872,-1.545371088724696e-06,1911.0,0.04782292459113002,0.24316831683168316,0.11587862497081505
nocturnal,child,LBGI,100,1.4337685638741484,10.603092656543978,-9.169324092669829,-14.592484969801651,-4.340803048264001,-0.20245154107540203,1109.0,1.1235299519290757e-06,0.5607920792079208,3.539119348576589e-05
standard,adolescent,LBGI,100,0.490866627320046,0.4754094456016407,0.015457181718405237,-0.022183069048671206,0.054698809854060636,2.3089653036430347e-07,2495.0,0.9192085410446027,0.011881188118811892,1.0
standard,adult,LBGI,100,0.2928137314579048,0.31269247765558783,-0.019878746197683015,-0.06929570732732393,0.026061528803473955,0.0,2297.0,0.47013096068559834,0.09029702970297027,0.604454092310055
standard,child,LBGI,100,2.394354072728476,15.510217632385878,-13.115863559657406,-20.19332033787157,-6.82470223195998,-0.07906935091518451,1388.0,9.253508950932787e-05,0.45029702970297025,0.00048580921992397126
variable,adolescent,LBGI,100,1.1429430503988016,2.714598924053108,-1.5716558736543058,-3.9916140328162935,-0.09304994800763083,-5.466448406717746e-05,2205.0,0.2712171344436851,0.12673267326732673,0.42716698674880405
variable,adult,LBGI,100,0.7221390178027294,0.8321933636046529,-0.11005434580192365,-0.2748444609705313,-0.006556298740768556,-7.586984972981149e-07,2183.0,0.24031906302382067,0.13544554455445545,0.3984237097500185
variable,child,LBGI,100,3.147335014499167,13.956694614402457,-10.809359599903292,-16.30888192939664,-5.8179318555173,-0.08273072271444037,1443.0,0.00020036661081834718,0.42851485148514856,0.0008415397654370581
nocturnal,adolescent,Mean_glucose,100,136.90359782334517,136.75007012241562,0.15352770092953874,-0.09242238977005747,0.4043282633589799,-0.040081268571313444,2393.0,0.6499304018341789,0.052277227722772324,0.8028552022657505
nocturnal,adult,Mean_glucose,100,143.1164519072446,142.72849105280048,0.38796085444410067,-0.021032999120081323,0.8843893365612634,-0.05287740190088641,2498.0,0.9260348271927795,0.010693069306930703,1.0
nocturnal,child,Mean_glucose,100,131.0110348187902,122.64246116406706,8.368573654723097,5.056701203320363,12.188586081018629,0.7101118625452756,1282.0,1.9213684786277983e-05,0.49227722772277227,0.00020174369025591883
standard,adolescent,Mean_glucose,100,134.39402247351887,134.18597618218593,0.208046291332966,-0.1357595747045202,0.5527842830182129,0.007599143344279469,2104.0,0.14774720853713422,0.16673267326732677,0.29087731680748297
standard,adult,Mean_glucose,100,140.36012792669487,139.83926513900946,0.520862787685398,0.039500169842032876,1.0848709693871201,-0.02497815738934861,2373.0,0.6012349777584516,0.06019801980198025,0.757556071975649
standard,child,Mean_glucose,100,129.25410296395663,120.6653542568512,8.588748707105408,5.154882805275959,12.502101455097131,1.0897857269095255,1274.0,1.6976498032482443e-05,0.49544554455445544,0.0002139038752092788
variable,adolescent,Mean_glucose,100,134.2290131717239,132.35091728612426,1.8780958855996308,0.2630267387626733,4.164063577573742,0.04157396157492599,1972.0,0.05725047216196592,0.21900990099009898,0.13358443504458714
variable,adult,Mean_glucose,100,141.31942410055765,141.13353123603184,0.18589286452580908,-0.1980808985331637,0.6285274354879615,-0.053029738133574256,2431.0,0.7465418609724369,0.03722772277227726,0.8551297680229732
variable,child,Mean_glucose,100,128.2735571356713,118.88362090141975,9.389936234251552,5.998149112976044,13.152864124474982,0.9556731238027396,1285.0,2.012289516401296e-05,0.4910891089108911,0.00018110605647611664
nocturnal,adolescent,TBR,100,0.4131944444444444,0.3784722222222222,0.03472222222222222,-0.031249999999999983,0.1076388888888889,0.0,470.5,0.2932754697444674,0.8136633663366337,0.4296826649744522
nocturnal,adult,TBR,100,0.06944444444444443,0.05208333333333333,0.01736111111111111,-0.027777777777777776,0.07638888888888888,0.0,296.0,0.7346598589710402,0.8827722772277228,0.857103168799547
nocturnal,child,TBR,100,5.368055555555555,12.159722222222227,-6.791666666666668,-9.98967013888889,-4.062413194444444,-0.34722222222222276,734.5,1.600544435157162e-07,0.7091089108910891,1.0083429941490121e-05
standard,adolescent,TBR,100,1.8576388888888888,1.7430555555555554,0.11458333333333334,-0.04513888888888887,0.28125000000000006,0.0,701.5,0.17862810704910215,0.7221782178217822,0.32153059268838385
standard,adult,TBR,100,0.986111111111111,1.0277777777777777,-0.04166666666666667,-0.29513888888888895,0.21875,0.0,710.0,0.3362067893345657,0.7188118811881188,0.46045712452342696
standard,child,TBR,100,6.618055555555555,13.21527777777778,-6.597222222222223,-9.802083333333332,-3.8436631944444435,-0.1736111111111111,1037.5,1.4976758695013676e-05,0.5891089108910892,0.0002358839494464654
variable,adolescent,TBR,100,3.916666666666666,5.25,-1.3333333333333337,-3.205034722222222,0.010416666666666591,0.0,1105.0,0.3042477859381171,0.5623762376237624,0.43562751168412217
variable,adult,TBR,100,2.777777777777778,3.0486111111111107,-0.27083333333333326,-0.7881944444444443,0.1284722222222222,0.0,880.0,0.31892677060339003,0.6514851485148515,0.44649747884474605
variable,child,TBR,100,7.965277777777777,15.614583333333336,-7.649305555555555,-11.017534722222221,-4.7047743055555555,0.0,1066.5,0.0001177834929352046,0.5776237623762377,0.0005300257182084207
nocturnal,adolescent,TIR,100,96.26041666666669,96.48611111111111,-0.22569444444444486,-0.44791666666666713,-0.05208333333333299,0.0,1169.5,0.06912813678451536,0.5368316831683169,0.14516908724748226
nocturnal,adult,TIR,100,94.54861111111111,94.35763888888889,0.19097222222222215,-0.19097222222222215,0.6249999999999997,0.0,1389.5,0.2005787800447365,0.44970297029702966,0.3415260308869838
nocturnal,child,TIR,100,86.92708333333331,81.14930555555557,5.7777777777777795,3.2325520833333314,8.611284722222225,0.34722222222222854,1494.5,0.0008275995386907763,0.40811881188118815,0.003066986525736406
standard,adolescent,TIR,100,94.98958333333334,95.21527777777779,-0.225694444444444,-0.46874999999999856,-0.01736111111111086,0.0,1560.0,0.16868166863146117,0.3821782178217822,0.3125572095230016
standard,adult,TIR,100,93.86458333333334,93.68055555555557,0.18402777777777835,-0.3506944444444428,0.8160590277777783,0.0,1690.0,0.2859468875347214,0.33069306930693065,0.4289203313020821
standard,child,TIR,100,86.2361111111111,80.40972222222223,5.82638888888889,3.204774305555555,8.719010416666668,0.6944444444444429,1587.5,0.001983243556224758,0.3712871287128713,0.006247217202107988
variable,adolescent,TIR,100,88.00694444444443,87.09722222222221,0.9097222222222221,-0.26050347222222264,2.4861111111111107,0.0,1836.0,0.7123536284583759,0.2728712871287129,0.8467599734505223
variable,adult,TIR,100,85.9861111111111,85.375,0.6111111111111108,0.09722222222222192,1.2256944444444446,0.0,1493.0,0.04489328089431682,0.40871287128712874,0.1131310678536784
variable,child,TIR,100,84.09027777777777,77.89236111111111,6.197916666666668,3.617881944444444,9.003819444444446,0.34722222222222854,1514.5,0.0012815826557426781,0.4001980198019802,0.0042494582795678274
nocturnal,adolescent,Time_below_54,100,0.09027777777777779,0.0798611111111111,0.010416666666666664,0.0,0.027777777777777773,0.0,0.0,0.15730444814112687,1.0,0.3003084919057876
nocturnal,adult,Time_below_54,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0
nocturnal,child,Time_below_54,100,1.8333333333333335,8.04513888888889,-6.2118055555555545,-9.330381944444444,-3.406076388888888,0.0,689.5,2.9271069886067017e-05,0.7269306930693069,0.00020489748920246912
standard,adolescent,Time_below_54,100,0.517361111111111,0.4444444444444445,0.07291666666666666,-0.04166666666666668,0.1909722222222222,0.0,283.0,0.03384974206728729,0.8879207920792079,0.08885557292662914
standard,adult,Time_below_54,100,0.1770833333333333,0.2152777777777778,-0.03819444444444445,-0.1909722222222222,0.07291666666666666,0.0,291.0,0.9899791850175192,0.8847524752475248,1.0
standard,child,Time_below_54,100,2.604166666666667,9.3125,-6.708333333333331,-9.895833333333334,-3.87126736111111,0.0,851.0,0.00025472969137970417,0.6629702970297029,0.001002998159807585
variable,adolescent,Time_below_54,100,1.458333333333333,2.7118055555555554,-1.2534722222222223,-2.8682291666666666,-0.08671874999999969,0.0,525.5,0.0612671338831006,0.7918811881188119,0.13785105123697636
variable,adult,Time_below_54,100,0.8611111111111112,1.1840277777777777,-0.32291666666666663,-0.7013888888888888,-0.05555555555555555,0.0,364.0,0.0643371584329367,0.8558415841584158,0.1397669303887935
variable,child,Time_below_54,100,3.7361111111111116,9.989583333333332,-6.253472222222223,-9.156249999999998,-3.6840277777777777,0.0,1197.0,0.00216367419131885,0.525940594059406,0.00649102257395655
